Site,Transect,Range (m),Point,Total,Snail ID,Snail Size (mm)
Blackie Spit East Side,1,0-20,14,4,1,23
Blackie Spit East Side,1,0-20,14,4,2,30
Blackie Spit East Side,1,0-20,14,4,3,23
Blackie Spit East Side,1,0-20,14,4,4,31
Blackie Spit East Side,1,0-20,15,5,1,29
Blackie Spit East Side,1,0-20,15,5,2,30
Blackie Spit East Side,1,0-20,15,5,3,27
Blackie Spit East Side,1,0-20,15,5,4,31
Blackie Spit East Side,1,0-20,15,5,5,18
Blackie Spit East Side,1,20-40,21,6,1,25
Blackie Spit East Side,1,20-40,21,6,2,36
Blackie Spit East Side,1,20-40,21,6,3,34
Blackie Spit East Side,1,20-40,21,6,4,23
Blackie Spit East Side,1,20-40,21,6,5,32
Blackie Spit East Side,1,20-40,21,6,6,37
Blackie Spit East Side,1,20-40,39,1,1,19
Blackie Spit East Side,1,40-60,51,1,1,23
Blackie Spit East Side,1,40-60,60,4,1,21
Blackie Spit East Side,1,40-60,60,4,2,16
Blackie Spit East Side,1,40-60,60,4,3,18
Blackie Spit East Side,1,40-60,60,4,4,24
Blackie Spit East Side,1,60-80,64,2,1,9
Blackie Spit East Side,1,60-80,64,2,2,6
Blackie Spit East Side,1,60-80,67,3,1,25
Blackie Spit East Side,1,60-80,67,3,2,26
Blackie Spit East Side,1,60-80,67,3,3,29
Blackie Spit East Side,1,80-100,84,5,1,23
Blackie Spit East Side,1,80-100,84,5,2,26
Blackie Spit East Side,1,80-100,84,5,3,19
Blackie Spit East Side,1,80-100,84,5,4,13
Blackie Spit East Side,1,80-100,84,5,5,23
Blackie Spit East Side,1,80-100,97,7,1,9
Blackie Spit East Side,1,80-100,97,7,2,34
Blackie Spit East Side,1,80-100,97,7,3,25
Blackie Spit East Side,1,80-100,97,7,4,14
Blackie Spit East Side,1,80-100,97,7,5,21
Blackie Spit East Side,1,80-100,97,7,6,19
Blackie Spit East Side,1,80-100,97,7,7,9
Blackie Spit East Side,1,100-120,117,3,1,32
Blackie Spit East Side,1,100-120,117,3,2,27
Blackie Spit East Side,1,100-120,117,3,3,16
Blackie Spit East Side,1,100-120,119,2,1,23
Blackie Spit East Side,1,100-120,119,2,2,16
Blackie Spit East Side,1,120-140,126,0,0,
Blackie Spit East Side,1,120-140,140,0,0,
Blackie Spit East Side,1,140-160,148,1,1,26
Blackie Spit East Side,1,140-160,150,0,0,0
Blackie Spit East Side,1,160-180,170,2,1,26
Blackie Spit East Side,1,160-180,170,2,2,21
Blackie Spit East Side,1,160-180,173,0,0,0
Blackie Spit East Side,2,0-20,10,5,1,21
Blackie Spit East Side,2,0-20,10,5,2,36
Blackie Spit East Side,2,0-20,10,5,3,19
Blackie Spit East Side,2,0-20,10,5,4,22
Blackie Spit East Side,2,0-20,10,5,5,26
Blackie Spit East Side,2,0-20,15,2,1,20
Blackie Spit East Side,2,0-20,15,2,2,21
Blackie Spit East Side,2,20-40,22,2,1,33
Blackie Spit East Side,2,20-40,22,2,2,25
Blackie Spit East Side,2,20-40,31,4,1,18
Blackie Spit East Side,2,20-40,31,4,2,21
Blackie Spit East Side,2,20-40,31,4,3,22
Blackie Spit East Side,2,20-40,31,4,4,18
Blackie Spit East Side,2,40-60,53,3,1,32
Blackie Spit East Side,2,40-60,53,3,2,27
Blackie Spit East Side,2,40-60,53,3,3,28
Blackie Spit East Side,2,40-60,56,8,1,29
Blackie Spit East Side,2,40-60,56,8,2,35
Blackie Spit East Side,2,40-60,56,8,3,31
Blackie Spit East Side,2,40-60,56,8,4,25
Blackie Spit East Side,2,40-60,56,8,5,24
Blackie Spit East Side,2,40-60,56,8,6,31
Blackie Spit East Side,2,40-60,56,8,7,30
Blackie Spit East Side,2,40-60,56,8,8,23
Blackie Spit East Side,2,60-80,67,4,1,34
Blackie Spit East Side,2,60-80,67,4,2,26
Blackie Spit East Side,2,60-80,67,4,3,20
Blackie Spit East Side,2,60-80,67,4,4,30
Blackie Spit East Side,2,60-80,79,1,1,28
Blackie Spit East Side,2,80-100,85,23,1,22
Blackie Spit East Side,2,80-100,85,23,2,20
Blackie Spit East Side,2,80-100,85,23,3,26
Blackie Spit East Side,2,80-100,85,23,4,22
Blackie Spit East Side,2,80-100,85,23,5,22
Blackie Spit East Side,2,80-100,85,23,6,30
Blackie Spit East Side,2,80-100,85,23,7,20
Blackie Spit East Side,2,80-100,85,23,8,24
Blackie Spit East Side,2,80-100,85,23,9,17
Blackie Spit East Side,2,80-100,85,23,10,17
Blackie Spit East Side,2,80-100,97,2,1,31
Blackie Spit East Side,2,80-100,97,2,2,20
Blackie Spit East Side,2,100-120,107,3,1,28
Blackie Spit East Side,2,100-120,107,3,2,30
Blackie Spit East Side,2,100-120,107,3,3,17
Blackie Spit East Side,2,100-120,117,9,1,21
Blackie Spit East Side,2,100-120,117,9,2,26
Blackie Spit East Side,2,100-120,117,9,3,30
Blackie Spit East Side,2,100-120,117,9,4,25
Blackie Spit East Side,2,100-120,117,9,5,28
Blackie Spit East Side,2,100-120,117,9,6,22
Blackie Spit East Side,2,100-120,117,9,7,22
Blackie Spit East Side,2,100-120,117,9,8,22
Blackie Spit East Side,2,100-120,117,9,9,17
Blackie Spit East Side,2,120-140,123,6,1,20
Blackie Spit East Side,2,120-140,123,6,2,25
Blackie Spit East Side,2,120-140,123,6,3,26
Blackie Spit East Side,2,120-140,123,6,4,20
Blackie Spit East Side,2,120-140,123,6,5,20
Blackie Spit East Side,2,120-140,123,6,6,18
Blackie Spit East Side,2,120-140,138,54,1,15
Blackie Spit East Side,2,120-140,138,54,2,16
Blackie Spit East Side,2,120-140,138,54,3,31
Blackie Spit East Side,2,120-140,138,54,4,27
Blackie Spit East Side,2,120-140,138,54,5,25
Blackie Spit East Side,2,120-140,138,54,6,19
Blackie Spit East Side,2,120-140,138,54,7,19
Blackie Spit East Side,2,120-140,138,54,8,24
Blackie Spit East Side,2,120-140,138,54,9,21
Blackie Spit East Side,2,120-140,138,54,10,10
Blackie Spit East Side,3,0-20,1,48,1,17
Blackie Spit East Side,3,0-20,1,48,2,22
Blackie Spit East Side,3,0-20,1,48,3,20
Blackie Spit East Side,3,0-20,1,48,4,20
Blackie Spit East Side,3,0-20,1,48,5,22
Blackie Spit East Side,3,0-20,1,48,6,21
Blackie Spit East Side,3,0-20,1,48,7,18
Blackie Spit East Side,3,0-20,1,48,8,20
Blackie Spit East Side,3,0-20,1,48,9,19
Blackie Spit East Side,3,0-20,1,48,10,21
Blackie Spit East Side,3,0-20,19,3,1,26
Blackie Spit East Side,3,0-20,19,3,2,20
Blackie Spit East Side,3,0-20,19,3,3,21
Blackie Spit East Side,3,20-40,33,4,1,16
Blackie Spit East Side,3,20-40,33,4,2,20
Blackie Spit East Side,3,20-40,33,4,3,25
Blackie Spit East Side,3,20-40,33,4,4,12
Blackie Spit East Side,3,20-40,39,2,1,21
Blackie Spit East Side,3,20-40,39,2,2,14
Blackie Spit East Side,3,40-60,44,6,1,6
Blackie Spit East Side,3,40-60,44,6,2,16
Blackie Spit East Side,3,40-60,44,6,3,21
Blackie Spit East Side,3,40-60,44,6,4,13
Blackie Spit East Side,3,40-60,44,6,5,18
Blackie Spit East Side,3,40-60,44,6,6,6
Blackie Spit East Side,3,40-60,50,3,1,12
Blackie Spit East Side,3,40-60,50,3,2,11
Blackie Spit East Side,3,40-60,50,3,3,26
Blackie Spit East Side,3,60-80,61,4,1,23
Blackie Spit East Side,3,60-80,61,4,2,22
Blackie Spit East Side,3,60-80,61,4,3,19
Blackie Spit East Side,3,60-80,61,4,4,18
Blackie Spit East Side,3,60-80,76,2,1,26
Blackie Spit East Side,3,60-80,76,2,2,30
Blackie Spit East Side,3,80-100,82,2,1,35
Blackie Spit East Side,3,80-100,82,2,2,22
Blackie Spit East Side,3,80-100,84,0,0,
Blackie Spit East Side,3,100-120,106,0,0,
Blackie Spit East Side,3,100-120,115,0,0,
Blackie Spit East Side,3,120-140,126,2,1,33
Blackie Spit East Side,3,120-140,126,2,2,26
Blackie Spit East Side,3,120-140,131,0,0,
,,,,,,
Crescent Beach West Side,1,0-20,5,3,1,18
Crescent Beach West Side,1,0-20,5,3,2,20
Crescent Beach West Side,1,0-20,5,3,3,5
Crescent Beach West Side,1,0-20,11,10,1,10
Crescent Beach West Side,1,0-20,11,10,2,20
Crescent Beach West Side,1,0-20,11,10,3,10
Crescent Beach West Side,1,0-20,11,10,4,8
Crescent Beach West Side,1,0-20,11,10,5,12
Crescent Beach West Side,1,0-20,11,10,6,10
Crescent Beach West Side,1,0-20,11,10,7,16
Crescent Beach West Side,1,0-20,11,10,8,17
Crescent Beach West Side,1,0-20,11,10,9,6
Crescent Beach West Side,1,0-20,11,10,10,11
Crescent Beach West Side,1,20-40,31,14,1,19
Crescent Beach West Side,1,20-40,31,14,2,21
Crescent Beach West Side,1,20-40,31,14,3,19
Crescent Beach West Side,1,20-40,31,14,4,19
Crescent Beach West Side,1,20-40,31,14,5,19
Crescent Beach West Side,1,20-40,31,14,6,17
Crescent Beach West Side,1,20-40,31,14,7,16
Crescent Beach West Side,1,20-40,31,14,8,20
Crescent Beach West Side,1,20-40,31,14,9,20
Crescent Beach West Side,1,20-40,31,14,10,21
Crescent Beach West Side,1,20-40,39,1,1,9
Crescent Beach West Side,1,40-60,43,0,0,
Crescent Beach West Side,1,40-60,58,0,0,
Crescent Beach West Side,1,60-80,75,1,1,17
Crescent Beach West Side,1,60-80,61,1,1,22
Crescent Beach West Side,1,80-100,97,2,1,21
Crescent Beach West Side,1,80-100,97,2,2,19
Crescent Beach West Side,1,80-100,100,1,1,16
Crescent Beach West Side,1,100-120,111,1,1,11
Crescent Beach West Side,1,100-120,104,0,0,
Crescent Beach West Side,1,120-140,121,0,0,
Crescent Beach West Side,1,120-140,126,0,0,
Crescent Beach West Side,1,140-160,143,0,0,
Crescent Beach West Side,1,140-160,151,0,0,
Crescent Beach West Side,1,160-180,171,1,1,7
Crescent Beach West Side,1,160-180,168,0,0,
Crescent Beach West Side,1,180-200,184,0,0,
Crescent Beach West Side,1,180-200,185,0,0,
Crescent Beach West Side,2,0-20,13,24,1,18
Crescent Beach West Side,2,0-20,13,24,2,20
Crescent Beach West Side,2,0-20,13,24,3,15
Crescent Beach West Side,2,0-20,13,24,4,18
Crescent Beach West Side,2,0-20,13,24,5,18
Crescent Beach West Side,2,0-20,13,24,6,6
Crescent Beach West Side,2,0-20,13,24,7,17
Crescent Beach West Side,2,0-20,13,24,8,8
Crescent Beach West Side,2,0-20,13,24,9,20
Crescent Beach West Side,2,0-20,13,24,10,16
Crescent Beach West Side,2,0-20,15,24,1,4
Crescent Beach West Side,2,0-20,15,24,2,20
Crescent Beach West Side,2,0-20,15,24,3,21
Crescent Beach West Side,2,0-20,15,24,4,5
Crescent Beach West Side,2,0-20,15,24,5,20
Crescent Beach West Side,2,0-20,15,24,6,20
Crescent Beach West Side,2,0-20,15,24,7,18
Crescent Beach West Side,2,0-20,15,24,8,16
Crescent Beach West Side,2,0-20,15,24,9,20
Crescent Beach West Side,2,0-20,15,24,10,19
Crescent Beach West Side,2,20-40,38,0,0,
Crescent Beach West Side,2,20-40,35,2,1,21
Crescent Beach West Side,2,20-40,35,2,2,18
Crescent Beach West Side,2,40-60,45,1,1,15
Crescent Beach West Side,2,40-60,55,0,0,
Crescent Beach West Side,2,60-80,66,1,1,25
Crescent Beach West Side,2,60-80,75,0,0,
Crescent Beach West Side,2,80-100,83,1,1,18
Crescent Beach West Side,2,80-100,99,0,0,
Crescent Beach West Side,2,100-120,111,0,0,
Crescent Beach West Side,2,100-120,101,0,0,
Crescent Beach West Side,2,120-140,127,0,0,
Crescent Beach West Side,2,120-140,137,0,0,
Crescent Beach West Side,2,140-160,148,0,0,
Crescent Beach West Side,2,140-160,155,0,0,
Crescent Beach West Side,2,160-180,174,2,1,10
Crescent Beach West Side,2,160-180,174,2,2,21
Crescent Beach West Side,2,160-180,161,0,0,
Crescent Beach West Side,2,180-200,199,0,0,
Crescent Beach West Side,2,180-200,195,1,1,16
Crescent Beach West Side,3,0-20,0,6,1,9
Crescent Beach West Side,3,0-20,0,6,2,18
Crescent Beach West Side,3,0-20,0,6,3,16
Crescent Beach West Side,3,0-20,0,6,4,19
Crescent Beach West Side,3,0-20,0,6,5,3
Crescent Beach West Side,3,0-20,0,6,6,20
Crescent Beach West Side,3,0-20,5,13,1,11
Crescent Beach West Side,3,0-20,5,13,2,18
Crescent Beach West Side,3,0-20,5,13,3,18
Crescent Beach West Side,3,0-20,5,13,4,15
Crescent Beach West Side,3,0-20,5,13,5,12
Crescent Beach West Side,3,0-20,5,13,6,15
Crescent Beach West Side,3,0-20,5,13,7,8
Crescent Beach West Side,3,0-20,5,13,8,17
Crescent Beach West Side,3,0-20,5,13,9,20
Crescent Beach West Side,3,0-20,5,13,10,19
Crescent Beach West Side,3,20-40,28,16,1,17
Crescent Beach West Side,3,20-40,28,16,2,17
Crescent Beach West Side,3,20-40,28,16,3,19
Crescent Beach West Side,3,20-40,28,16,4,20
Crescent Beach West Side,3,20-40,28,16,5,17
Crescent Beach West Side,3,20-40,28,16,6,15
Crescent Beach West Side,3,20-40,28,16,7,16
Crescent Beach West Side,3,20-40,28,16,8,15
Crescent Beach West Side,3,20-40,28,16,9,19
Crescent Beach West Side,3,20-40,28,16,10,19
Crescent Beach West Side,3,20-40,33,1,1,16
Crescent Beach West Side,3,40-60,47,2,1,18
Crescent Beach West Side,3,40-60,47,2,2,14
Crescent Beach West Side,3,40-60,58,7,1,16
Crescent Beach West Side,3,40-60,58,7,2,18
Crescent Beach West Side,3,40-60,58,7,3,19
Crescent Beach West Side,3,40-60,58,7,4,10
Crescent Beach West Side,3,40-60,58,7,5,17
Crescent Beach West Side,3,40-60,58,7,6,17
Crescent Beach West Side,3,40-60,58,7,7,17
Crescent Beach West Side,3,60-80,65,0,0,
Crescent Beach West Side,3,60-80,75,0,0,
Crescent Beach West Side,3,80-100,90,1,1,18
Crescent Beach West Side,3,80-100,96,0,0,
Crescent Beach West Side,3,100-120,112,0,0,
Crescent Beach West Side,3,100-120,108,0,0,
Crescent Beach West Side,3,120-140,128,0,0,
Crescent Beach West Side,3,120-140,138,0,0,
Crescent Beach West Side,3,140-160,151,0,0,
Crescent Beach West Side,3,140-160,145,1,1,21
Crescent Beach West Side,3,160-180,171,4,1,26
Crescent Beach West Side,3,160-180,171,4,2,22
Crescent Beach West Side,3,160-180,171,4,3,5
Crescent Beach West Side,3,160-180,171,4,4,17
Crescent Beach West Side,3,160-180,160,3,1,19
Crescent Beach West Side,3,160-180,160,3,2,20
Crescent Beach West Side,3,160-180,160,3,3,21
Crescent Beach West Side,3,180-200,181,0,0,
Crescent Beach West Side,3,180-200,200,1,1,15
